key,en,ru,tr,de,fr,es
share_text,I just scored {score} points in Dice Dynasty with a highest die of {highestDie}! Can you beat it?,Я только что набрал {score} очков в Династии Кубиков с наивысшим кубиком {highestDie}! Сможешь побить?,Dice Dynasty'de en yüksek {highestDie} zar ile {score} puan aldım! Beni yenebilir misin?,Ich habe gerade {score} Punkte in Dice Dynasty mit einem höchsten Würfel von {highestDie} erzielt! Kannst du das schlagen?,Je viens de marquer {score} points dans Dynastie des Dés avec un dé le plus élevé de {highestDie}! Pouvez-vous me battre?,¡Acabo de conseguir {score} puntos en Dinastía de Dados con un dado más alto de {highestDie}! ¿Puedes superarlo?
score_copied,Score copied to clipboard!,Счет скопирован в буфер обмена!,Puan panoya kopyalandı!,Punktzahl in die Zwischenablage kopiert!,Score copié dans le presse-papiers!,¡Puntuación copiada al portapapeles!
new_record,New record: {value}!,Новый рекорд: {value}!,Yeni rekor: {value}!,Neuer Rekord: {value}!,Nouveau record: {value}!,¡Nuevo récord: {value}!
new_high_score,New high score!,Новый рекорд!,Yeni yüksek puan!,Neue Höchstpunktzahl!,Nouveau meilleur score!,¡Nueva puntuación máxima!
leaderboard_description,Best players in {game}. Can you make it to the top?,Лучшие игроки в {game}. Сможете ли вы подняться на вершину?,{game} oyununun en iyi oyuncuları. Zirveye çıkabilir misin?,Die besten Spieler in {game}. Kannst du es an die Spitze schaffen?,Les meilleurs joueurs de {game}. Pouvez-vous atteindre le sommet?,Los mejores jugadores en {game}. ¿Puedes llegar a la cima?
watch_ad_for_dice,Watch Ad for 3 Dice,Смотреть рекламу за 3 кубика,3 Zar için Reklam İzle,Werbung für 3 Würfel ansehen,Regarder une pub pour 3 dés,Ver anuncio por 3 dados
extra_dice_added,+3 Dice Added!,+3 кубика добавлено!,+3 Zar Eklendi!,+3 Würfel hinzugefügt!,+3 dés ajoutés !,+3 dados añadidos!
board_full,Board is full!,Поле заполнено!,Tahta dolu!,Brett ist voll!,Plateau plein !,¡Tablero lleno!
watching_ad,Watching ad...,Просмотр рекламы...,Reklam izleniyor...,Werbung wird angezeigt...,Visionnage de pub...,Viendo anuncio...
invite_friends,Invite Friends,Пригласить друзей,Arkadaşları Davet Et,Freunde Einladen,Inviter des Amis,Invitar a Amigos
ad_not_available,Ads not available right now. Try again later.,Реклама сейчас недоступна. Попробуйте позже.,Reklamlar şu anda mevcut değil. Daha sonra tekrar deneyin.,Werbung ist derzeit nicht verfügbar. Versuchen Sie es später erneut.,Les publicités ne sont pas disponibles pour le moment. Réessayez plus tard.,Los anuncios no están disponibles ahora. Inténtalo de nuevo más tarde.
ad_error,Could not show ad. Try again later.,Не удалось показать рекламу. Попробуйте позже.,Reklam gösterilemedi. Daha sonra tekrar deneyin.,Die Werbung konnte nicht angezeigt werden. Versuchen Sie es später erneut.,Impossible d'afficher l'annonce. Réessayez plus tard.,No se pudo mostrar el anuncio. Inténtalo de nuevo más tarde.
